"month","n_events","max_mag","mean_mag"
2024-06-01,23,3.86,2.26826086956522
2024-07-01,36,4.87,2.25833333333333
2024-08-01,55,3.77,2.10981818181818
2024-09-01,38,3.75,2.08105263157895
2024-10-01,30,3.59,2.214
2024-11-01,26,3.29,2.13884615384615
2024-12-01,29,3.55,2.08655172413793
2025-01-01,37,3.46,2.14675675675676
2025-02-01,31,3.27,2.14258064516129
2025-03-01,32,2.95,2.0703125
2025-04-01,75,3.47,2.14693333333333
2025-05-01,43,3.4,2.03511627906977
2025-06-01,53,3.21,2.0777358490566
2025-07-01,42,3.98,2.16809523809524
2025-08-01,38,2.86,2.04789473684211
2025-09-01,48,3.1,2.184375
2025-10-01,26,3.07,2.145
2025-11-01,32,2.77,2.0496875
2025-12-01,41,3.56,2.08780487804878
2026-01-01,47,3.55,2.17021276595745
2026-02-01,34,3.55,2.16
2026-03-01,35,4.11,2.15542857142857
2026-04-01,32,3.93,2.3059375
2026-05-01,26,3.12,2.13615384615385
